,open,close,low,high
2019-07-22,960.0,957.02,950.25,964.0
2019-07-23,962.3,953.98,943.86,962.59
2019-07-24,958.31,946.36,944.69,959.9
2019-07-25,945.97,963.0,938.15,963.36
2019-07-26,961.97,965.03,958.55,971.0
2019-07-29,962.03,976.41,960.01,979.5
2019-07-30,976.5,978.93,971.0,983.0
2019-07-31,975.0,972.6,966.59,981.77
2019-08-01,976.51,959.3,953.02,977.0
2019-08-02,944.0,954.45,943.0,957.98
2019-08-05,945.0,942.43,940.0,954.0
2019-08-06,931.0,946.3,923.8,948.0
2019-08-07,949.5,945.0,945.0,955.53
2019-08-08,953.5,971.68,952.0,974.0
2019-08-09,978.5,962.03,958.99,980.95
2019-08-12,1010.31,1018.63,995.01,1020.1
2019-08-13,1016.16,1017.95,1010.68,1026.0
2019-08-14,1030.02,1043.33,1030.02,1051.9
2019-08-15,1028.0,1044.9,1028.0,1046.48
2019-08-16,1049.84,1054.6,1041.0,1075.58
2019-08-19,1061.0,1055.88,1049.05,1069.98
2019-08-20,1055.0,1070.0,1050.0,1073.68
2019-08-21,1070.1,1066.0,1061.66,1076.97
2019-08-22,1072.99,1104.0,1070.0,1104.0
2019-08-23,1105.0,1130.1,1095.62,1133.56
2019-08-26,1113.0,1102.95,1096.68,1128.0
2019-08-27,1117.0,1109.0,1109.0,1131.31
2019-08-28,1109.0,1100.11,1083.01,1123.19
2019-08-29,1105.0,1113.1,1092.5,1118.18
2019-08-30,1125.0,1142.0,1123.0,1146.0
2019-09-02,1139.99,1138.76,1129.0,1144.98
2019-09-03,1140.0,1140.0,1128.56,1151.02
2019-09-04,1140.8,1125.01,1120.11,1142.91
2019-09-05,1129.0,1144.0,1128.0,1144.9
2019-09-06,1144.5,1142.49,1131.0,1146.15
2019-09-09,1145.0,1136.52,1135.0,1148.0
2019-09-10,1134.3,1123.85,1120.01,1135.0
2019-09-11,1119.22,1069.52,1068.0,1119.97
2019-09-12,1066.0,1099.0,1066.0,1109.98
2019-09-16,1083.0,1099.0,1083.0,1103.95
2019-09-17,1094.0,1094.01,1087.0,1106.66
2019-09-18,1108.5,1148.9,1108.18,1150.0
2019-09-19,1148.0,1145.0,1137.1,1150.0
2019-09-20,1151.0,1157.42,1147.59,1160.0
2019-09-23,1157.0,1149.0,1131.0,1157.0
2019-09-24,1155.0,1184.0,1152.0,1184.9
2019-09-25,1180.0,1174.0,1170.5,1188.87
2019-09-26,1174.94,1167.0,1158.81,1183.35
2019-09-27,1164.0,1174.75,1153.0,1183.0
2019-09-30,1163.0,1150.0,1150.0,1169.43
2019-10-08,1153.0,1167.1,1152.01,1180.0
2019-10-09,1166.2,1146.81,1135.05,1166.2
2019-10-10,1127.0,1155.0,1109.02,1158.93
2019-10-11,1157.0,1174.6,1152.21,1175.0
2019-10-14,1186.0,1180.0,1170.0,1187.66
2019-10-15,1180.0,1211.0,1177.03,1215.68
2019-10-16,1168.0,1170.0,1160.0,1187.5
2019-10-17,1176.0,1183.33,1162.5,1186.66
2019-10-18,1179.0,1175.79,1171.69,1189.99
2019-10-21,1171.86,1168.5,1163.3,1178.9
2019-10-22,1178.0,1170.8,1163.89,1181.5
2019-10-23,1168.0,1158.91,1156.11,1178.0
2019-10-24,1164.95,1150.27,1147.16,1166.0
2019-10-25,1153.3,1171.35,1143.03,1172.5
2019-10-28,1166.01,1178.29,1165.0,1181.01
2019-10-29,1181.11,1193.0,1177.77,1199.96
2019-10-30,1190.0,1183.8,1176.0,1192.7
2019-10-31,1196.0,1180.01,1176.15,1198.0
2019-11-01,1181.0,1185.0,1172.5,1191.95
2019-11-04,1190.0,1199.59,1189.0,1209.99
2019-11-05,1199.5,1199.0,1192.0,1205.0
2019-11-06,1197.0,1193.0,1188.88,1204.0
2019-11-07,1196.51,1201.37,1189.0,1201.88
2019-11-08,1205.0,1205.0,1201.51,1215.65
2019-11-11,1201.5,1199.0,1193.51,1206.2
2019-11-12,1204.0,1201.6,1198.21,1209.6
2019-11-13,1207.0,1224.0,1200.0,1227.8
2019-11-14,1227.0,1230.0,1222.0,1240.0
2019-11-15,1230.0,1224.9,1221.5,1232.91
2019-11-18,1225.12,1227.28,1218.0,1229.45
2019-11-19,1228.0,1232.32,1225.02,1241.61
2019-11-20,1230.0,1233.75,1228.06,1239.51
2019-11-21,1231.0,1231.3,1221.06,1235.51
2019-11-22,1223.0,1194.0,1185.0,1229.0
2019-11-25,1188.05,1182.06,1172.06,1194.0
2019-11-26,1186.68,1185.0,1183.0,1198.6
2019-11-27,1192.8,1189.95,1184.51,1196.62
2019-11-28,1194.97,1175.8,1169.02,1197.51
2019-11-29,1165.5,1129.0,1112.89,1165.5
2019-12-02,1118.2,1133.0,1118.2,1140.02
2019-12-03,1133.0,1118.0,1117.74,1133.0
2019-12-04,1140.0,1122.33,1118.0,1144.66
2019-12-05,1125.0,1129.8,1118.0,1132.01
2019-12-06,1135.97,1170.0,1130.1,1170.0
2019-12-09,1175.0,1158.7,1156.1,1176.0
2019-12-10,1159.6,1164.4,1151.0,1165.0
2019-12-11,1168.0,1158.98,1155.55,1170.75
2019-12-12,1156.0,1137.0,1130.08,1159.94
2019-12-13,1146.0,1163.0,1146.0,1165.0
2019-12-16,1163.0,1147.92,1137.94,1163.0
2019-12-17,1149.7,1169.98,1143.03,1173.6
2019-12-18,1174.0,1168.0,1164.0,1175.2
2019-12-19,1163.0,1157.4,1152.0,1163.0
2019-12-20,1162.18,1146.3,1141.5,1162.18
2019-12-23,1139.0,1149.3,1136.0,1162.5
2019-12-24,1153.0,1148.0,1145.0,1155.0
2019-12-25,1143.0,1133.7,1130.01,1143.0
2019-12-26,1132.0,1135.1,1119.99,1141.98
2019-12-27,1150.0,1163.0,1150.0,1172.0
2019-12-30,1170.2,1185.8,1170.2,1195.5
2019-12-31,1183.0,1183.0,1176.51,1188.0
2020-01-02,1128.0,1130.0,1116.0,1145.06
2020-01-03,1117.0,1078.56,1076.9,1117.0
2020-01-06,1070.86,1077.99,1067.3,1092.9
2020-01-07,1077.5,1094.53,1076.4,1099.0
2020-01-08,1085.05,1088.14,1082.58,1095.5
2020-01-09,1094.0,1102.7,1090.0,1105.39
2020-01-10,1109.0,1112.5,1102.5,1115.99
2020-01-13,1112.5,1124.27,1112.0,1129.2
2020-01-14,1124.2,1107.4,1103.0,1124.89
2020-01-15,1109.01,1112.13,1105.0,1121.6
2020-01-16,1118.87,1107.0,1102.58,1118.87
2020-01-17,1110.0,1107.5,1101.01,1112.78
2020-01-20,1111.86,1091.0,1082.0,1111.86
2020-01-21,1081.0,1075.3,1072.3,1087.0
2020-01-22,1070.0,1075.51,1055.38,1084.0
2020-01-23,1076.0,1052.8,1037.0,1076.0
2020-02-03,985.0,1003.92,980.0,1010.68
2020-02-04,1015.0,1038.01,1011.01,1057.0
2020-02-05,1050.0,1049.99,1033.03,1054.0
2020-02-06,1059.43,1071.0,1052.02,1075.0
2020-02-07,1070.01,1076.0,1061.02,1077.0
2020-02-10,1062.0,1066.49,1057.2,1074.6
2020-02-11,1063.0,1098.0,1062.8,1099.68
2020-02-12,1089.0,1097.27,1085.88,1098.79
2020-02-13,1098.0,1091.0,1088.01,1113.89
2020-02-14,1090.45,1088.0,1083.11,1093.51
2020-02-17,1082.5,1093.82,1082.4,1096.19
2020-02-18,1090.01,1084.0,1083.0,1096.88
2020-02-19,1085.0,1096.5,1078.0,1101.5
2020-02-20,1096.7,1118.0,1095.41,1124.0
2020-02-21,1111.46,1112.88,1110.01,1123.54
2020-02-24,1105.5,1087.18,1085.5,1110.0
2020-02-25,1078.0,1074.81,1067.88,1082.09
2020-02-26,1062.0,1073.7,1055.0,1084.0
